"","ip_address","latitude","longitude"
"3714800","41.222.181.72",-10.1173,39.6207
"3717990","41.222.181.72",-2.5994,32.8961
"3721557","41.222.181.72",-6.8382,39.2812
"3727274","41.222.181.72",-6.7896,39.1419
"3738443","41.222.181.72",-3.8347,32.5937
"3739887","41.222.181.72",-6.8038,37.6837
"3749415","41.222.181.72",-2.551,32.9801
"3751986","41.222.181.72",-3.2853,37.524
"3760245","41.222.181.72",-3.3514,37.3435
"3789719","41.222.181.72",-6.7991,39.2347
"3792882","41.222.181.72",-2.5253,32.9154
"3812632","41.222.181.72",-3.2898,37.5253
"3829831","41.222.181.72",-6.8148,37.6884
"3836933","41.222.181.72",-2.5154,32.9031
"3837589","41.222.181.72",-3.3712,36.7822
"3843090","41.222.181.72",-5.0738,39.1009
"3855894","41.222.181.72",-6.7571,37.6383
"3863518","41.222.181.72",-6.7837,37.6424
"3892465","41.222.181.72",-6.6936,39.1176
"3903613","41.222.181.72",-8.9312,33.4638
"4393341","41.222.181.72",-1.3634,31.792
"4395291","41.222.181.72",-2.5166,32.9046
"4415283","41.222.181.72",-8.3284,35.2949
"4420188","41.222.181.72",-6.8356,39.2775
"4425378","41.222.181.72",-2.5221,32.9039
"4432530","41.222.181.72",-4.8888,29.6299
"4434343","41.222.181.72",-6.8683,39.1903
"4435266","41.222.181.72",-6.1698,35.7825
"4435656","41.222.181.72",-6.4186,37.5373
"4437071","41.222.181.72",-6.7694,39.2267
"4440187","41.222.181.72",-1.3295,31.8086
"4440410","41.222.181.72",-6.769,39.2283
"4441146","41.222.181.72",-6.1685,35.778
"4441190","41.222.181.72",-1.161,34.0368
"4441469","41.222.181.72",-6.8182,39.2462
"4443739","41.222.181.72",-6.1703,35.7873
"4446385","41.222.181.72",-6.4304,37.5087
"4447836","41.222.181.72",-3.1827,33.7783
"4448185","41.222.181.72",-6.7821,39.2077
"4456907","41.222.181.72",-7.7675,35.7014
"4457027","41.222.181.72",-6.188,35.7443
"4460804","41.222.181.72",-6.7968,39.2462
"4463511","41.222.181.72",-3.3371,30.9218
"4466230","41.222.181.72",-6.7981,39.2292
"4466427","41.222.181.72",-3.6836,33.433
"4467127","41.222.181.72",-3.6804,33.4373
"4469891","41.222.181.72",-10.2713,40.1798
"4498356","41.222.181.72",-6.1927,39.2559
"4506712","41.222.181.72",-1.5009,33.798
